"question","options","answer"
"学生使用计算机网络，不得有下列哪些行为？()","利用网络泄露学校秘密，危害学校安全 | 盗用他人帐号、IP地址、MAC地址 | 正常使用校园网络完成学习任务 | 利用网络发布未经证实、无法确定来源的消息","利用网络泄露学校秘密，危害学校安全 | 盗用他人帐号、IP地址、MAC地址 | 利用网络发布未经证实、无法确定来源的消息"
"下列属于福州大学学生宿舍内经3C认证、可正常使用的准入电器有()","洗衣机 | 电磁炉 | 电脑 | 台灯","洗衣机 | 电脑 | 台灯"
"关于休学与复学，以下说法正确的有()。","学生可以分阶段完成学业 | 休学次数和期限由学校规定 | 休学学生应当办理手续离校，学校为其保留学籍 | 休学期间享受在校学习学生待遇","学生可以分阶段完成学业 | 休学次数和期限由学校规定 | 休学学生应当办理手续离校，学校为其保留学籍"
"根据《福州大学学生管理规定》，学生有下列哪些情形之一，应当从重或者加重处分？","违法、违纪行为的主要责任人或组织者 | 串供、抵赖或者伪造、销毁、隐匿证据的 | 包庇同案人员或者打击报复批评人、检举人、控告人 | 主动交代本人违法违纪行为，有明显悔改表现的","违法、违纪行为的主要责任人或组织者 | 串供、抵赖或者伪造、销毁、隐匿证据的 | 包庇同案人员或者打击报复批评人、检举人、控告人"
"学生有下列哪些情形之一，不得转专业？","国家有相关规定或者录取前与学校有明确约定的 | 定向生、高水平运动队 | 保留入学资格、保留学籍、休学期间的 | 本科四年级（含）以上学生","国家有相关规定或者录取前与学校有明确约定的 | 定向生、高水平运动队 | 保留入学资格、保留学籍、休学期间的 | 本科四年级（含）以上学生"
"课程考核成绩记录方式包括以下哪几种？","百分制（整数） | 五级制：优秀、良好、中等、及格、不及格 | 二级制：合格、不合格 | 四级制：优秀、良好、及格、不及格","百分制（整数） | 五级制：优秀、良好、中等、及格、不及格 | 二级制：合格、不合格"
"申请国家励志奖学金的学生，如学习成绩排名与综合测评成绩排名其中一项未进入前40%，但在60%以内的，必须在以下哪些方面表现比较突出？","道德风尚 | 学术研究 | 学科竞赛 | 社会实践","道德风尚 | 学术研究 | 学科竞赛 | 社会实践"
"德育素质测评中的基础性测评，班级同学互评和辅导员评价的等次包括（）。","优秀 | 良好 | 一般 | 差","优秀 | 良好 | 一般 | 差"
"以下哪些情形，德育素质基础性测评应当给予“一般”或“差”等次？","违反国家法律、法规，反对四项基本原则，破坏安定团结，扰乱社会秩序，损害国家利益和社会公共利益的 | 严重违反公共道德行为规范，违背社会公序良俗，损害社会风纪的 | 严重违反学校管理规定，扰乱学校教育教学秩序、生活秩序以及公共场所管理秩序的 | 严重侵害他人的合法权益，给他人造成严重不良影响或损失的","违反国家法律、法规，反对四项基本原则，破坏安定团结，扰乱社会秩序，损害国家利益和社会公共利益的 | 严重违反公共道德行为规范，违背社会公序良俗，损害社会风纪的 | 严重违反学校管理规定，扰乱学校教育教学秩序、生活秩序以及公共场所管理秩序的 | 严重侵害他人的合法权益，给他人造成严重不良影响或损失的"
"学生在校期间依法应当履行哪些义务？","遵守宪法和法律、法规 | 遵守学校章程和规章制度 | 恪守学术道德，完成规定学业 | 按规定缴纳学费及有关费用","遵守宪法和法律、法规 | 遵守学校章程和规章制度 | 恪守学术道德，完成规定学业 | 按规定缴纳学费及有关费用"
"综合素质评价的“五育素质”测评包括以下哪些方面？","德育素质测评 | 智育素质测评 | 体育素质测评 | 美育素质测评 | 劳育素质测评","德育素质测评 | 智育素质测评 | 体育素质测评 | 美育素质测评 | 劳育素质测评"
"学生在宿舍区不得有下列哪些行为？","酗酒 | 打麻将 | 进行赌博活动 | 留宿非本宿舍成员","酗酒 | 打麻将 | 进行赌博活动 | 留宿非本宿舍成员"
"学生有下列哪些行为之一，视其情节轻重，给予记过以上处分？","违反宪法，反对四项基本原则，组织、参加未经批准的游行、示威活动 | 组织、成立、加入非法社会团体或组织，从事非法活动 | 泄漏国家秘密，造成后果 | 以各种形式散布、传播反动言论、虚假信息或有害信息，制造混乱 | 无故旷课达10学时的","违反宪法，反对四项基本原则，组织、参加未经批准的游行、示威活动 | 组织、成立、加入非法社会团体或组织，从事非法活动 | 泄漏国家秘密，造成后果 | 以各种形式散布、传播反动言论、虚假信息或有害信息，制造混乱"
"根据《福州大学本科生奖学金评定管理办法》，在评定学期中有下列哪些情况之一，不具备获得各类奖学金的资格？","违反校纪校规，受到警告以上处分，在处分期限内的 | 休学或保留学籍的 | 所修习的课程（除任意选修课外）有不及格的 | 学期综合测评名次在本专业前50%的","违反校纪校规，受到警告以上处分，在处分期限内的 | 休学或保留学籍的 | 所修习的课程（除任意选修课外）有不及格的"
"根据《福州大学学生住宿管理办法》，学生退宿原则上基于以下哪些情况？","学生家住福州市（以户籍为准），距离学校15公里以内的 | 因身心健康问题，医院出具证明需单独住宿且有学生监护人或家人陪读者 | 研究生确因学业需要赴校外单位实验、实习及实践的 | 学生对宿舍环境不满意自行决定退宿的","学生家住福州市（以户籍为准），距离学校15公里以内的 | 因身心健康问题，医院出具证明需单独住宿且有学生监护人或家人陪读者 | 研究生确因学业需要赴校外单位实验、实习及实践的"
"以下哪些行为属于学术不端行为（）。","剽窃、抄袭、侵占他人学术成果 | 篡改他人研究成果 | 伪造科研数据、资料、文献、注释 | 引用他人观点并注明出处的","剽窃、抄袭、侵占他人学术成果 | 篡改他人研究成果 | 伪造科研数据、资料、文献、注释"
"学生集体外出活动必须做到（）。","通过正规旅行社组织 | 有老师带队参加 | 购买人身意外保险 | 选择价格最低的交通方式","通过正规旅行社组织 | 有老师带队参加 | 购买人身意外保险"
"学生对试题有如下疑问时，应举手示意请监考人员处理。","试卷分发错误 | 印刷模糊 | 试卷缺页 | 无法理解题目","试卷分发错误 | 印刷模糊 | 试卷缺页"
"考试中不得有如下行为。","互相谈话 | 左顾右盼 | 互借文具 | 提早交卷","互相谈话 | 左顾右盼 | 互借文具"
"德育素质测评（A），发展性测评（A2）中，个人荣誉项规定获得下列哪些类别的荣誉可以加3分。","校级各类先进个人 | 省级各类先进个人 | 院级综合类荣誉 | 学院先进党、团支部、班集体（主要负责人）","校级各类先进个人 | 省级各类先进个人"
"学生在校期间依法享有的权利包括（）。","参加学校教育教学计划安排的各项活动，使用学校提供的教育教学资源 | 参加社会实践、志愿服务、勤工助学、文娱体育及科技文化创新等活动 | 申请奖学金、助学金及助学贷款 | 免缴学费及有关费用","参加学校教育教学计划安排的各项活动，使用学校提供的教育教学资源 | 参加社会实践、志愿服务、勤工助学、文娱体育及科技文化创新等活动 | 申请奖学金、助学金及助学贷款"
"本科学生综合素质评价内容主要包括（）。","学业测评成绩 | 德育素质测评成绩 | 体育素质测评成绩 | 劳育素质测评成绩","体育素质测评成绩 | 劳育素质测评成绩 | 学业测评成绩 | 德育素质测评成绩"
"下面哪些情况，学生不可以转学（）","入学未满一学期 | 毕业前一年 | 高考分数低于转入学校同专业同地当年录取分 | 定向就业录取学生","入学未满一学期 | 毕业前一年 | 高考分数低于转入学校同专业同地当年录取分 | 定向就业录取学生"
"福州大学纪律处分的种类包含（）","警告 | 严重警告 | 记过 | 留校察看 | 开除学籍","警告 | 严重警告 | 记过 | 留校察看 | 开除学籍"
"选课分为哪几个阶段（）","正常选课 | 补退选课 | 重新学习选课 | 随时选课","正常选课 | 补退选课 | 重新学习选课"
"本科生不得转专业情形（）","定向生、高水平运动队 | 中外合作办学、闽台联合培养项目学生 | 四年级及以上本科生 | 休学期间学生","定向生、高水平运动队 | 中外合作办学、闽台联合培养项目学生 | 四年级及以上本科生 | 休学期间学生"
"留校察看期内如果休学，察看期限包含休学时间。","对 | 错","错"
"综合素质评价每学期评价一次。","对 | 错","对"
"福州大学学生一学期申请免听的课程数一般不得超过二门。","对 | 错","对"
"受开除学籍处分的学生，学校发给肄业证书。","对 | 错","错"
"学生参加勤工助学的时间原则上每周不超过8小时，每月不超过40小时。","对 | 错","对"
"福州大学的校标以“福”字为主体，突破了传统篆字设计模式。","对 | 错","对"
"根据《福州大学学生管理规定》，本科新生因疾病申请保留入学资格的，可保留入学资格1至2年。","对 | 错","对"
"对违反国家招生规定取得入学资格或者学籍的，学校应当取消其学籍，不得发给学历证书、学位证书。","对 | 错","对"
"家庭经济困难的学生可以申请助学贷款或者其他形式资助，办理有关手续后注册。","对 | 错","对"
"学生对学校的处理或者处分决定有异议的，可以在接到学校处理或者处分决定书之日起15日内向学校学生申诉处理委员会提出书面申诉。","对 | 错","错"
"学生辅修专业与主修专业归属不同的本科专业大类，方可授予辅修专业学士学位。","对 | 错","对"
"学生休学期间发生的事故，学校不承担任何责任。","对 | 错","对"
"学生在保留入学资格、休学期间，如果报考其他院校，应当先办理取消入学资格或退学手续。","对 | 错","对"
"学生在考试期间被监考人员发现携带了手机，无论是开机还是关机，均为违规行为。","对 | 错","对"
"学生可以在宿舍内使用电热棒、电炉等违章电器。","对 | 错","错"
"退学学生，应当按学校规定期限办理退学手续离校。","对 | 错","对"
"学生举行大型集会、游行、示威等活动，应当按法律程序和有关规定获得批准。","对 | 错","对"
"学生在实习期间，因违反实习纪律和安全规程造成自身伤害由学生本人负责。","对 | 错","对"
"学生进行毕业设计（论文）时，严禁抄袭、套用他人成果，毕业设计（论文）中引用他人的观点或论述，必需注明出处或来源。","对 | 错","对"
"学生应当遵守学校关于学生住宿管理的规定，共同创造整洁、文明、有序、安全的生活环境。","对 | 错","对"
"学生休学期间，学校为其保留学籍，并继续享受在校学习学生的一切待遇。","对 | 错","错"
"学生使用计算机网络，可以编造、传播虚假、有害信息。","对 | 错","错"
"同一学年内，申请国家励志奖学金的学生可以同时申请并获得国家奖学金。","对 | 错","错"
"学生在综合素质评价中弄虚作假的，一经查实，取消其参评资格。","对 | 错","对"
"学生在宿舍内可以饲养宠物。","对 | 错","错"
"学生因退学等情况中止学业，其在校学习期间所修课程及已获得学分，学校不予记录。","对 | 错","错"
"学生休学期间，享受在校学习学生的所有待遇。","对 | 错","错"
"具有我校正式学籍的学生，在修业年限内取得本专业培养方案规定的应修学分，达到毕业要求，准予毕业，学校颁发毕业证书。","对 | 错","对"
"受开除学籍处分的学生，学校只发给写实性学习证明。","对 | 错","对"
"申诉期间，停止原处理或处分决定的执行。","对 | 错","错"
"学生在校期间依法享有对学校与学生权益相关事务享有知情权和监督权的权利。","对 | 错","对"
"复查中发现学生身心状况不适宜在校学习，经学校指定的三级乙等以上医院诊断，需要在家休养的，可以按照第十条的规定保留入学资格。","对 | 错","错"
"辅修学生免修学分合计不超过5学分。","对 | 错","对"
"学生必须携带准考证，学生证或身份证准时进入考场，按指定的座位入座，迟到六十分钟以上不得进入考场。","对 | 错","错"
"补考不及格者，可以再次申请补考。","对 | 错","错"
"学生提出申诉后，原处理或处分决定暂停执行。","对 | 错","错"
"选修课课程不及格，学校安排补考。","对 | 错","错"
"学生本人申请退学，学校审核同意后，可以办理退学。","对 | 错","对"
"学生申请辅修，主修绩点至少要 2.0。","对 | 错","对"
"5.在校学生应征参加中国人民解放军（含中国人民武装警察部队），可保留学籍至退役后()年。","2年 | 3年 | 1年 | 4年","2年"
"学生已修读的必修课中，课程考核不及格的学分数累计达到()学分，给予学业危机警告。","10 | 20 | 15 | 30","20"
"凡已在校学习满一学年以上的退学学生，按()处理，发给肄业证书。","结业 | 毕业 | 保留学籍 | 肄业","肄业"
"《高等学校学生行为准则》要求大学生应“志存高远，()”。","坚定信念 | 服务人民 | 勤奋学习 | 遵纪守法","坚定信念"
"未经批准连续()未参加学校规定的教学活动，学校可予退学处理。","一周 | 两周 | 三周 | 一个月","两周"
"留校察看处分的察看期为()个月。","6 | 12 | 18 | 24","12"
"学生每学期或者每学年所修课程或者应修学分数以及升级、跳级、留级、降级等要求，由（）规定。","教育部 | 省教育厅 | 学校 | 学院","学校"
"学生对复查决定有异议的，在接到学校复查决定书之日起（）内，可以向学校所在地省级教育行政部门提出书面申诉。","10日 | 15日 | 20日 | 30日","15日"
"学生使用网络时，盗用他人帐号、IP地址造成一定影响的，视情节轻重给予（）以上处分。","警告 | 严重警告 | 记过 | 留校察看","严重警告"
"上一学期平均学分绩点在（）及以上的学生可以申请免听。","2.0 | 2.5 | 3.0 | 3.5","3.0"
"学生一学期申请免听的课程数一般不得超过（）门。","一门 | 二门 | 三门 | 四门","二门"
"一学期累计旷课达（）学时者，给予警告处分。","10 | 15 | 20 | 25","10"
"一学期累计旷课达（）学时者，给予记过处分。","20 | 30 | 35 | 40","30"
"学生在考试中旁窥、交头接耳、打暗号或者手势的，给予（）处分。","警告 | 严重警告 | 记过 | 留校察看","记过"
"学生组织作弊的，给予（）处分。","记过 | 留校察看 | 开除学籍 | 严重警告","开除学籍"
"学生已修读的必修课中，课程考核不及格的学分数累计达到（）学分，给予学业危机警告。","15 | 20 | 25 | 30","20"
"学生一学期申请免听的课程数一般不得超过（）。","一门 | 二门 | 三门 | 四门","二门"
"修业年限期满时，取得本专业培养方案规定的应修学分（）者，按结业处理。","60% | 70% | 80% | 90%","80%"
"2017 级（含）以后本科生，百分制 90‑100 分对应的绩点为（）","3.7 | 4.0 | 3.3 | 2.7","4.0"
"补考能不能申请缓考？（）","可以 | 不可以 | 看学院审批 | 特殊情况可以","不可以"
"下面哪一类学生不得申请转专业（）","大二普通类学生 | 休学期间学生 | 成绩优异学生 | 退役复学学生","休学期间学生"
"本科学生休学，单次以一学期或一学年为期，累计休学时间不得超过（）","1 年 | 2 年 | 3 年 | 4 年","2 年"
"心理、精神疾病学生复学，下列医院不属于指定复查医院的是（）","福州市第四医院 | 福州市安康医院 | 福建省立医院 | 厦门市仙岳医院","福建省立医院"
"学生未经批准连续（）周未参加学校规定教学活动，学校可予以退学处理","1 | 2 | 3 | 4","2"
"本科生必修课不及格学分累计达到（）学分，学校给予学业危机警告","10 | 15 | 20 | 30","20"
"受开除学籍处分的学生，学校发给（）","肄业证书 | 结业证书 | 写实性学习证明 | 无任何证明","写实性学习证明"
"属于结业情形的有（）。","修完全部课程，学分未达到毕业要求，达到应修学分80% | 毕业体质健康测试低于50分（无病残证明） | 修满全部学分，各项考核合格 | 退学学生学习满一年","修完全部课程，学分未达到毕业要求，达到应修学分80% | 毕业体质健康测试低于50分（无病残证明）"
"辅修专业达到哪些条件，可以获得辅修专业证书（）。","获得主修专业毕业证书 | 修完辅修专业全部学分 | 不需要完成辅修毕业设计 | 主修还未毕业","获得主修专业毕业证书 | 修完辅修专业全部学分"
"属于A+类学科竞赛的是（）。","中国国际大学生创新大赛 | “挑战杯”课外学术科技作品竞赛 | “挑战杯”创业计划竞赛 | 普通校级演讲比赛","中国国际大学生创新大赛 | “挑战杯”课外学术科技作品竞赛 | “挑战杯”创业计划竞赛"
"下面哪些属于学生网络使用禁止行为（）。","传播谣言有害信息 | 攻击侵入他人网络系统 | 盗用他人账号IP地址 | 查阅正规学习资料","传播谣言有害信息 | 攻击侵入他人网络系统 | 盗用他人账号IP地址"
"学生请假相关规定说法正确的有（）。","病假需要医院证明 | 事假两天以内辅导员批准 | 事假两天以上分管院领导批准 | 请假不需要书面材料口头即可","病假需要医院证明 | 事假两天以内辅导员批准 | 事假两天以上分管院领导批准"
"学生不得有下列哪些行为？()","酗酒、打架斗殴、赌博、吸毒 | 传播、复制、贩卖非法书刊和音像制品 | 参与非法传销和进行邪教、封建迷信活动 | 积极参加文体活动","酗酒、打架斗殴、赌博、吸毒 | 传播、复制、贩卖非法书刊和音像制品 | 参与非法传销和进行邪教、封建迷信活动"
"福州大学本科学生属于下列哪些情形之一的，不得申请转专业？()","中外合作办学、闽台高校联合培养人才项目的学生 | 定向生、高水平运动队 | 对现读专业不感兴趣 | 本科四年级（含）以上学生","中外合作办学、闽台高校联合培养人才项目的学生 | 定向生、高水平运动队 | 本科四年级（含）以上学生"
"福州大学优秀学生综合奖学金设有的等级包括()","三等奖学金 | 一等奖学金 | 二等奖学金 | 特等奖学金","三等奖学金 | 一等奖学金 | 二等奖学金"
"对有违反法律法规、本规定以及学校纪律行为的学生，学校应当给予批评教育，并可视情节轻重，给予()","严重警告 | 记过 | 留校察看 | 开除学籍","严重警告 | 记过 | 留校察看 | 开除学籍"
"关于福州大学本科生毕业，下列说法正确的有()","符合《福州大学授予学士学位工作细则》规定的授予学士学位条件者，授予学士学位 | 在修业年限内取得本专业培养方案规定的应修学分，达到毕业要求，准予毕业 | 提前修满应修学分且符合毕业规定的学生，可以申请提前毕业 | 毕业时体质健康测试成绩不作任何要求","在修业年限内取得本专业培养方案规定的应修学分，达到毕业要求，准予毕业 | 提前修满应修学分且符合毕业规定的学生，可以申请提前毕业 | 符合《福州大学授予学士学位工作细则》规定的授予学士学位条件者，授予学士学位"
"根据《福州大学学生住宿管理办法》，以下哪些属于宿舍违规行为？","私拉电线 | 使用电热水壶（无3C认证） | 饲养宠物 | 晚归进行实名登记","私拉电线 | 使用电热水壶（无3C认证） | 饲养宠物"
"关于本科学生转学，以下哪些情形不得转学？","入学未满一学期 | 毕业前一年 | 由低学历层次转为高学历层次 | 以定向就业招生录取的","入学未满一学期 | 毕业前一年 | 由低学历层次转为高学历层次 | 以定向就业招生录取的"
"文化科技创新创业奖学金的奖励类别包括()。","学科竞赛 | 发明创造 | 文化艺术类竞赛 | 体育运动竞赛","学科竞赛 | 发明创造 | 文化艺术类竞赛 | 体育运动竞赛"
"学生有下列哪些行为，给予留校察看以上处分？","抄袭或者协助他人抄袭试题答案或者与考试内容相关资料 | 评卷过程中被认定为答案雷同的 | 抢夺、窃取他人试卷、答卷或者胁迫他人为自己抄袭提供方便的 | 考试开始信号发出前答题的","抄袭或者协助他人抄袭试题答案或者与考试内容相关资料 | 评卷过程中被认定为答案雷同的 | 抢夺、窃取他人试卷、答卷或者胁迫他人为自己抄袭提供方便的"
"有下列哪些情形之一，学校可予退学处理？","学业成绩未达到学校要求或在规定学习年限内未完成学业 | 休学、保留学籍期满，在规定期限内未提出复学申请或复查不合格 | 未经批准连续两周未参加学校规定的教学活动 | 超过学校规定期限未注册而又未履行暂缓注册手续","学业成绩未达到学校要求或在规定学习年限内未完成学业 | 休学、保留学籍期满，在规定期限内未提出复学申请或复查不合格 | 未经批准连续两周未参加学校规定的教学活动 | 超过学校规定期限未注册而又未履行暂缓注册手续"
"学校对符合哪些条件的学生可授予学士学位？","拥护中国共产党的领导，拥护社会主义制度，遵守宪法和法律，遵守学术道德和学术规范 | 在本学科或者专业领域较好地掌握基础理论、专门知识和基本技能，具有从事学术研究或者承担专业实践工作的初步能力 | 在允许的修业年限内，完成本专业培养方案规定的各项要求，通过毕业论文或者毕业设计等毕业环节审查，经审核准予毕业","拥护中国共产党的领导，拥护社会主义制度，遵守宪法和法律，遵守学术道德和学术规范 | 在本学科或者专业领域较好地掌握基础理论、专门知识和基本技能，具有从事学术研究或者承担专业实践工作的初步能力 | 在允许的修业年限内，完成本专业培养方案规定的各项要求，通过毕业论文或者毕业设计等毕业环节审查，经审核准予毕业"
"学生有下列哪些行为，认定为考试违规并给予相应处分？","携带规定以外的物品进入考场，未按要求放在指定位置的 | 未在规定的座位参加考试的 | 考试开始信号发出前答题或者考试结束信号发出后继续答题的 | 在考场或者学校禁止的范围内喧哗、吸烟或者实施其它影响考场秩序行为的 | 未经监考人员同意在考试过程中擅自离开考场的 | 因病不能按时参加考试，事先办理缓考手续的","携带规定以外的物品进入考场，未按要求放在指定位置的 | 未在规定的座位参加考试的 | 考试开始信号发出前答题或者考试结束信号发出后继续答题的 | 在考场或者学校禁止的范围内喧哗、吸烟或者实施其它影响考场秩序行为的 | 未经监考人员同意在考试过程中擅自离开考场的"
"以下哪些课程不得申请免听与免修（）。","思想政治理论课 | 体育 | 实验、实习 | 大学英语","思想政治理论课 | 体育 | 实验、实习"
"以下哪些考试违规行为给予警告处分（）。","携带规定以外的物品进入考场，未按要求放在指定位置的 | 未在规定的座位参加考试的 | 考试开始信号发出前答题的 | 未经监考人员同意擅自离开考场的","携带规定以外的物品进入考场，未按要求放在指定位置的 | 未在规定的座位参加考试的 | 考试开始信号发出前答题的 | 未经监考人员同意擅自离开考场的"
"禁止学生携带（）以及其他电子设备进入考场，已带的要切断电源，放在监考教师指定的地方。","电子记事本 | 手机 | 电子手表 | 计算器","手机 | 电子手表 | 计算器 | 电子记事本"
"德育素质测评（A）中，基础性测评（A1）是指班级同学和辅导员按照“优秀”“良好”“一般”“差”四个等次进行班级同学互评和辅导员评价，具体观测点包括（）。","认真学习贯彻习近平新时代中国特色社会主义思想 | 热爱母校，秉承校训，积极践行福州大学“三种精神” | 学业成绩优秀，学期绩点排名在专业前20% | 尊敬师长，团结同学，关心集体，有较强的集体荣誉感","认真学习贯彻习近平新时代中国特色社会主义思想 | 热爱母校，秉承校训，积极践行福州大学“三种精神” | 尊敬师长，团结同学，关心集体，有较强的集体荣誉感"
"体育素质测评（C），基础性测评（C1）中规定若评价学期无体育必修课，则基础性测评成绩根据福大体育APP打卡情况确定。完成以下（）任一内容即可获得体育基础分70分，未完成以50分计。","在规定教学周内，每学期完成健康跑36次，每周参加健康跑的次数不少于1次 | 在福大体育APP中“AI运动”板块任选2个项目，每个项目各打卡36次，每周不少于1次 | 参加校级运动队，每学期完成体育训练36次，每周不少于1次 | 积极参加学校组织的“青年爱体育”等体育类活动，每学期参与次数达36次，每周不少于1次","在规定教学周内，每学期完成健康跑36次，每周参加健康跑的次数不少于1次 | 在福大体育APP中“AI运动”板块任选2个项目，每个项目各打卡36次，每周不少于1次"
"下列关于日常学生违纪违规（宿舍卫生）但尚未达到处分程度的扣分标准的说法，正确的是（）。","学院检查不合格的，个人扣0.1分/次 | 学院检查不合格的，舍长扣0.15分/次 | 学院检查不合格的学生骨干、党员扣0.15分/次 | 学校检查不合格的，个人扣0.2分/次","学院检查不合格的，个人扣0.1分/次 | 学院检查不合格的，舍长扣0.15分/次 | 学院检查不合格的学生骨干、党员扣0.15分/次 | 学校检查不合格的，个人扣0.2分/次"
"我校网络信息安全管理实施工作责任制和责任追究制。学校成立网络信息安全领导小组，各（）相应成立网络安全管理工作小组。","学院 | 专业 | 部门 | 1单位","学院 | 部门 | 1单位"
"我校奖学金包括（）三种类别。","国家级奖学金项目 | 校级奖学金项目 | 社会捐赠专项奖学金项目 | 国际交流奖学金项目","国家级奖学金项目 | 校级奖学金项目 | 社会捐赠专项奖学金项目"
"学生集体外出活动必须做到（）。","一般应通过正规旅行社组织 | 必须有老师带队参加 | 必须购买人身意外保险 | 必须乘坐有资质车辆","一般应通过正规旅行社组织 | 必须有老师带队参加 | 必须购买人身意外保险 | 必须乘坐有资质车辆"
